Passage,Argument,Web Source,Author,Text
"All Labrador retrievers bark a great deal. All Saint Bernards bark infrequently. Each of Rosa's dogs is a cross between a Labrador retriever and a Saint Bernard. Therefore, Rosa's dogs are moderate barkers.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"A century in certain ways is like a life, and as the end of a century approaches, people behave toward that century much as someone who is nearing the end of life does toward that life. So just as people in their last years spend much time looking back on the events of their life, people at a century's end",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"The latest Connorly Report suggests that Ocksenfrey prepackaged meals are virtually devoid of nutritional value. But the Connorly Report is commissioned by Danto Foods, Ocksenfrey's largest corporate rival, and early drafts of the report are submitted for approval to Danto Foods' public relations department. Because of the obvious bias of this report, it is clear that Ocksenfrey's prepackaged meals really are nutritious.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Earth's average annual temperature has increased by about 0.5 degrees Celsius over the last century. This warming is primarily the result of the buildup of minor gases in the atmosphere, blocking the outward flow of heat from the planet.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"An undergraduate degree is necessary for appointment to the executive board. Further, no one with a felony conviction can be appointed to the board. Thus, Murray, an accountant with both a bachelor's and a master's degree, cannot be accepted for the position of Executive Administrator, since he has a felony conviction.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
The most advanced kind of moral motivation is based solely on abstract principles. This form of motivation is in contrast with calculated self-interest or the desire to adhere to societal norms and conventions.,No,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Proponents of the electric car maintain that when the technical problems associated with its battery design are solved, such cars will be widely used and, because they are emission-free, will result in an abatement of the environmental degradation caused by auto emissions. But unless we dam more rivers, the electricity to charge these batteries will come from nuclear or coal-fired power plants. Each of these three power sources produces considerable environmental damage. Thus, the electric car",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Although video game sales have increased steadily over the past 3 years, we can expect a reversal of this trend in the very near future. Historically, over three quarters of video games sold have been purchased by people from 13 to 16 years of age, and the number of people in this age group is expected to decline steadily over the next 10 years.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Double-blind techniques should be used whenever possible in scientific experiments. They help prevent the misinterpretations that often arise due to expectations and opinions that scientists already hold, and clearly scientists should be extremely diligent in trying to avoid such misinterpretations.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"It is now a common complaint that the electronic media have corroded the intellectual skills required and fostered by the literary media. But several centuries ago the complaint was that certain intellectual skills, such as the powerful memory and extemporaneous eloquence that were intrinsic to oral culture, were being destroyed by the spread of literacy. So, what awaits us is probably a mere alteration of the human mind rather than its devolution.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Suppose I have promised to keep a confidence and someone asks me a question that I cannot answer truthfully without thereby breaking the promise. Obviously, I cannot both keep and break the same promise. Therefore, one cannot be obliged both to answer all questions truthfully and to keep all promises.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"It is claimed that we have the unencumbered right to say whatever we want. It is also claimed that we have the obligation to be civil to others. But civility requires that we not always say what we want. So, it cannot be true both that we have the unencumbered right to say whatever we want and that we have the duty to be civil.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Some politicians could attain popularity with voters only by making extravagant promises; this, however, would deceive the people. So, since the only way for some politicians to be popular is to deceive, and any politician needs to be popular, it follows that some politicians must deceive.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"If we put a lot of effort into making this report look good, the client might think we did so because we believed our proposal would not stand on its own merits. On the other hand, if we do not try to make the report look good, the client might think we are not serious about her business. So, whatever we do, we risk her criticism.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"If creditors have legitimate claims against a business and the business has the resources to pay those debts, then the business is obliged to pay them. Also, if a business has obligations to pay debts, then a court will force it to pay them. But the courts did not force this business to pay its debts, so either the creditors did not have legitimate claims or the business did not have sufficient resources.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"If we extend our business hours, we will either have to hire new employees or have existing employees work overtime. But both new employees and additional overtime would dramatically increase our labor costs. We cannot afford to increase labor costs, so we will have to keep our business hours as they stand.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Standard aluminum soft-drink cans do not vary in the amount of aluminum that they contain. Fifty percent of the aluminum contained in a certain group (M) of standard aluminum soft-drink cans was recycled from another group (L) of used, standard aluminum soft-drink cans. Since all the cans in L were recycled into cans in M and since the amount of material other than aluminum in an aluminum can is negligible, it follows that M contains twice as many cans as L.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"A cup of raw milk, after being heated in a microwave oven to 50 degrees Celsius, contains half its initial concentration of a particular enzyme, lysozyme. If, however, the milk reaches that temperature through exposure to a conventional heat source of 50 degrees Celsius, it will contain nearly all of its initial concentration of the enzyme. Therefore, what destroys the enzyme is not heat but microwaves, which generate heat.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"A new government policy has been developed to avoid many serious cases of influenza. This goal will be accomplished by the annual vaccination of high-risk individuals: everyone 65 and older as well as anyone with a chronic disease that might cause them to experience complications from the influenza virus. Each year's vaccination will protect only against the strain of the influenza virus deemed most likely to be prevalent that year, so every year it will be necessary for all high-risk individuals to receive a vaccine for a different strain of the virus.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Taylor: Researchers at a local university claim that 61 percent of the information transferred during a conversation is communicated through nonverbal signals. But this claim, like all such mathematically precise claims, is suspect, because claims of such exactitude could never be established by science.  Sandra: While precision is unobtainable in many areas of life, it is commonplace in others. Many scientific disciplines obtain extremely precise results, which should not be doubted merely because of their precision.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
"Hospital executive: At a recent conference on nonprofit management, several computer experts maintained that the most significant threat faced by large institutions such as universities and hospitals is unauthorized access to confidential data. In light of this testimony, we should make the protection of our clients' confidentiality our highest priority.",Yes,https://www.lsac.org/lsat/lsat-prep/practice-test/section-2,,Test Prep
